State,City,Date,Temperature (°C),Rainfall (mm),Humidity (%),Condition
Chhattisgarh,Raipur,2026-07-16,32.1,53.3,66.8,Stormy
Tamil Nadu,Tiruchirappalli,2026-07-16,29.4,117.2,70.5,Cloudy
Bihar,Gaya,2026-07-15,32.2,118.6,87.4,Rainy
Chhattisgarh,Bilaspur,2026-07-15,30.5,73.9,87.4,Rainy
Maharashtra,Nashik,2026-07-15,30.0,40.1,83.7,Stormy
Odisha,Bhubaneswar,2026-07-15,30.0,40.1,83.7,Stormy
Odisha,Rourkela,2026-07-15,33.2,175.1,83.7,Cloudy
Kerala,Kozhikode,2026-07-14,31.1,19.0,92.7,Heavy Rain
Maharashtra,Aurangabad,2026-07-14,24.7,79.2,92.7,Cloudy
Maharashtra,Mumbai,2026-07-13,29.5,39.6,83.2,Cloudy
Madhya Pradesh,Bhopal,2026-07-12,27.4,59.7,73.2,Stormy
Punjab,Ludhiana,2026-07-12,30.6,172.5,81.1,Heavy Rain
Karnataka,Bengaluru,2026-07-11,29.0,50.2,93.8,Heavy Rain
Uttarakhand,Dehradun,2026-07-11,29.0,61.3,74.8,Stormy
Nagaland,Kohima,2026-07-09,28.0,169.9,78.5,Cloudy
Uttar Pradesh,Lucknow,2026-07-08,23.2,66.6,80.1,Heavy Rain
Delhi (NCT),Rohini,2026-07-08,33.3,175.2,83.8,Stormy
Haryana,Panipat,2026-07-07,31.2,173.1,81.7,Cloudy
Madhya Pradesh,Indore,2026-07-07,28.0,60.3,73.8,Rainy
Madhya Pradesh,Gwalior,2026-07-07,28.5,71.9,85.4,Rainy
Mizoram,Aizawl,2026-07-07,23.8,165.7,74.3,Heavy Rain
Jammu and Kashmir,Srinagar,2026-07-06,30.6,107.3,90.7,Stormy
Goa,Panaji,2026-07-04,31.3,117.7,86.5,Heavy Rain
Haryana,Gurugram,2026-07-04,32.3,20.2,93.9,Heavy Rain
Telangana,Warangal,2026-07-03,27.0,37.1,80.7,Rainy
Meghalaya,Shillong,2026-07-02,28.6,38.7,82.3,Rainy
Tamil Nadu,Chennai,2026-07-02,28.1,27.1,70.7,Rainy
Uttar Pradesh,Varanasi,2026-07-01,30.7,74.1,87.6,Stormy
Andhra Pradesh,Tirupati,2026-06-30,28.6,83.1,66.5,Rainy
Jharkhand,Dhanbad,2026-06-30,23.9,22.9,66.5,Stormy
Tamil Nadu,Coimbatore,2026-06-30,28.1,60.4,73.9,Cloudy
Jharkhand,Ranchi,2026-06-28,27.1,15.0,88.7,Heavy Rain
Delhi (NCT),Dwarka,2026-06-28,30.8,172.7,81.3,Cloudy
Arunachal Pradesh,Itanagar,2026-06-27,33.9,110.6,94.0,Heavy Rain
Uttar Pradesh,Kanpur,2026-06-27,32.9,54.1,67.6,Stormy
West Bengal,Darjeeling,2026-06-27,26.0,69.4,82.9,Heavy Rain
Ladakh,Kargil,2026-06-27,28.2,147.9,86.6,Cloudy
Himachal Pradesh,Shimla,2026-06-26,23.9,78.4,91.9,Cloudy
Jharkhand,Jamshedpur,2026-06-26,27.1,59.4,72.9,Heavy Rain
West Bengal,Siliguri,2026-06-26,30.8,52.0,65.5,Cloudy
Ladakh,Leh,2026-06-26,29.3,115.7,84.5,Heavy Rain
Andhra Pradesh,Visakhapatnam,2026-06-25,33.9,132.8,86.1,Cloudy
Kerala,Kochi,2026-06-24,29.3,137.9,76.6,Cloudy
Punjab,Chandigarh,2026-06-24,26.1,25.1,68.7,Rainy
Uttar Pradesh,Noida,2026-06-24,30.3,40.4,84.0,Cloudy
Bihar,Bhagalpur,2026-06-23,27.7,169.6,78.2,Stormy
Gujarat,Ahmedabad,2026-06-23,24.0,23.0,66.6,Heavy Rain
Assam,Dibrugarh,2026-06-22,29.3,171.2,79.8,Stormy
Arunachal Pradesh,Naharlagun,2026-06-21,32.9,131.8,85.1,Heavy Rain
Assam,Silchar,2026-06-21,30.4,150.1,88.8,Heavy Rain
Haryana,Faridabad,2026-06-21,23.5,22.5,66.1,Stormy
Karnataka,Mangaluru,2026-06-21,27.7,48.9,92.5,Stormy
Nagaland,Dimapur,2026-06-21,27.2,15.1,88.8,Rainy
Andhra Pradesh,Vijayawada,2026-06-20,34.0,99.6,83.0,Cloudy
Gujarat,Surat,2026-06-19,33.6,153.3,92.0,Heavy Rain
Punjab,Jalandhar,2026-06-19,26.7,179.7,88.3,Heavy Rain
Telangana,Nizamabad,2026-06-19,23.5,44.7,88.3,Rainy
Himachal Pradesh,Manali,2026-06-18,33.0,76.4,89.9,Cloudy
Maharashtra,Nagpur,2026-06-18,28.8,38.9,82.5,Stormy
Rajasthan,Jaipur,2026-06-17,29.9,17.8,91.5,Heavy Rain
Telangana,Hyderabad,2026-06-17,23.0,44.2,87.8,Heavy Rain
Karnataka,Hubballi,2026-06-16,24.6,34.7,78.3,Rainy
Maharashtra,Pune,2026-06-15,29.4,17.3,91.0,Stormy
Tripura,Agartala,2026-06-15,29.4,17.3,91.0,Stormy
Gujarat,Vadodara,2026-06-14,27.3,15.2,88.9,Cloudy
West Bengal,Kolkata,2026-06-14,27.8,37.9,81.5,Rainy
Kerala,Thiruvananthapuram,2026-06-13,26.7,114.5,67.8,Stormy
Jammu and Kashmir,Jammu,2026-06-13,29.9,73.3,86.8,Stormy
Goa,Margao,2026-06-12,29.5,115.9,84.7,Cloudy
Madhya Pradesh,Jabalpur,2026-06-12,24.1,78.6,92.1,Heavy Rain
Punjab,Amritsar,2026-06-12,30.5,172.4,81.0,Stormy
Karnataka,Mysuru,2026-06-11,32.1,20.0,93.7,Cloudy
Chhattisgarh,Raipur,2026-06-09,28.4,49.6,93.2,Cloudy
Tamil Nadu,Tiruchirappalli,2026-06-09,25.7,113.5,66.8,Rainy
Bihar,Gaya,2026-06-08,28.5,114.9,83.7,Heavy Rain
Chhattisgarh,Bilaspur,2026-06-08,26.8,70.2,83.7,Heavy Rain
Maharashtra,Nashik,2026-06-08,26.3,36.4,80.0,Cloudy
Odisha,Bhubaneswar,2026-06-08,26.3,36.4,80.0,Cloudy
Odisha,Rourkela,2026-06-08,29.5,171.4,80.0,Rainy
Kerala,Kozhikode,2026-06-07,27.4,15.3,89.0,Stormy
Maharashtra,Aurangabad,2026-06-07,32.1,75.5,89.0,Rainy
Maharashtra,Mumbai,2026-06-06,25.8,35.9,79.5,Rainy
Madhya Pradesh,Bhopal,2026-06-05,23.7,56.0,69.5,Cloudy
Punjab,Ludhiana,2026-06-05,26.9,168.8,77.4,Stormy
Karnataka,Bengaluru,2026-06-04,25.3,46.5,90.1,Stormy
Uttarakhand,Dehradun,2026-06-04,25.3,57.6,71.1,Cloudy
Nagaland,Kohima,2026-06-02,24.3,166.2,74.8,Rainy
Uttar Pradesh,Lucknow,2026-06-01,30.6,62.9,76.4,Stormy
Delhi (NCT),Rohini,2026-06-01,29.6,171.5,80.1,Cloudy
Haryana,Panipat,2026-05-31,45.8,6.7,38.1,Sunny
Madhya Pradesh,Indore,2026-05-31,43.8,10.6,20.2,Dry
Madhya Pradesh,Gwalior,2026-05-31,37.3,10.1,31.8,Dry
Mizoram,Aizawl,2026-05-31,38.4,11.4,30.7,Clear
Jammu and Kashmir,Srinagar,2026-05-30,36.5,9.2,32.1,Hot
Goa,Panaji,2026-05-28,44.7,11.8,17.8,Clear
Haryana,Gurugram,2026-05-28,39.9,6.8,15.2,Clear
Telangana,Warangal,2026-05-27,38.7,11.6,32.1,Dry
Meghalaya,Shillong,2026-05-26,40.3,1.1,33.7,Dry
Tamil Nadu,Chennai,2026-05-26,28.7,1.6,22.1,Dry
Uttar Pradesh,Varanasi,2026-05-25,39.5,0.2,34.0,Hot
Andhra Pradesh,Tirupati,2026-05-24,30.4,9.2,43.0,Dry
Jharkhand,Dhanbad,2026-05-24,42.6,9.5,17.9,Hot
Jharkhand,Ranchi,2026-05-22,34.7,1.6,45.1,Clear
Delhi (NCT),Dwarka,2026-05-22,45.4,6.3,37.7,Sunny
Arunachal Pradesh,Itanagar,2026-05-21,39.8,0.4,35.4,Clear
Uttar Pradesh,Kanpur,2026-05-21,37.6,4.4,49.1,Hot
West Bengal,Darjeeling,2026-05-21,34.8,7.6,29.3,Clear
Ladakh,Kargil,2026-05-21,38.7,5.7,48.0,Sunny
Himachal Pradesh,Shimla,2026-05-20,43.8,4.5,38.3,Sunny
Jharkhand,Jamshedpur,2026-05-20,42.9,9.7,19.3,Clear
West Bengal,Siliguri,2026-05-20,35.5,2.3,47.0,Sunny
Ladakh,Leh,2026-05-20,42.7,9.8,15.8,Clear
Andhra Pradesh,Visakhapatnam,2026-05-19,43.9,10.5,22.5,Sunny
Kerala,Kochi,2026-05-18,28.7,7.8,38.0,Sunny
Punjab,Chandigarh,2026-05-18,44.8,11.7,20.1,Dry
Uttar Pradesh,Noida,2026-05-18,42.0,2.8,35.4,Sunny
Bihar,Bhagalpur,2026-05-17,42.3,3.2,34.6,Hot
Gujarat,Ahmedabad,2026-05-17,42.7,9.6,18.0,Clear
Assam,Dibrugarh,2026-05-16,43.9,4.8,36.2,Hot
Arunachal Pradesh,Naharlagun,2026-05-15,42.9,9.5,21.5,Clear
Assam,Silchar,2026-05-15,40.9,7.9,15.1,Clear
Haryana,Faridabad,2026-05-15,42.2,9.1,17.5,Hot
Karnataka,Mangaluru,2026-05-15,32.4,11.3,43.9,Hot
Nagaland,Dimapur,2026-05-15,34.8,1.7,45.2,Dry
Andhra Pradesh,Vijayawada,2026-05-14,28.8,1.5,24.4,Sunny
Gujarat,Surat,2026-05-13,44.1,11.1,18.3,Clear
Punjab,Jalandhar,2026-05-13,34.3,1.2,44.7,Clear
Telangana,Nizamabad,2026-05-13,28.2,7.1,39.7,Dry
Himachal Pradesh,Manali,2026-05-12,41.8,2.5,36.3,Sunny
Maharashtra,Nagpur,2026-05-12,40.5,1.3,33.9,Hot
Rajasthan,Jaipur,2026-05-11,37.5,4.4,47.9,Clear
Telangana,Hyderabad,2026-05-11,45.8,6.6,39.2,Clear
Karnataka,Hubballi,2026-05-10,36.3,9.2,29.7,Dry
Maharashtra,Pune,2026-05-09,37.0,3.9,47.4,Hot
Tripura,Agartala,2026-05-09,37.0,3.9,47.4,Hot
Gujarat,Vadodara,2026-05-08,34.9,1.8,45.3,Sunny
West Bengal,Kolkata,2026-05-08,39.5,0.3,32.9,Dry
Kerala,Thiruvananthapuram,2026-05-07,43.7,4.3,39.3,Hot
Jammu and Kashmir,Jammu,2026-05-07,38.7,11.5,33.2,Hot
Goa,Margao,2026-05-06,42.9,10.0,16.0,Sunny
Madhya Pradesh,Jabalpur,2026-05-06,44.0,4.7,38.5,Clear
Punjab,Amritsar,2026-05-06,45.1,6.0,37.4,Hot
Karnataka,Mysuru,2026-05-05,39.7,6.6,15.0,Sunny
Chhattisgarh,Raipur,2026-05-03,33.1,12.0,44.6,Sunny
Tamil Nadu,Tiruchirappalli,2026-05-03,42.7,3.3,38.3,Dry
Bihar,Gaya,2026-05-02,41.9,9.0,15.0,Clear
Chhattisgarh,Bilaspur,2026-05-02,35.6,8.4,30.1,Clear
Maharashtra,Nashik,2026-05-02,38.0,10.9,31.4,Sunny
Odisha,Bhubaneswar,2026-05-02,38.0,10.9,31.4,Sunny
Odisha,Rourkela,2026-05-02,44.1,5.0,36.4,Dry
Kerala,Kozhikode,2026-05-01,35.0,1.9,45.4,Hot
Maharashtra,Aurangabad,2026-05-01,40.9,1.6,35.4,Dry
Maharashtra,Mumbai,2026-04-30,37.5,10.4,30.9,Dry
Madhya Pradesh,Bhopal,2026-04-29,39.5,6.3,15.9,Sunny
Punjab,Ludhiana,2026-04-29,41.5,2.4,33.8,Hot
Karnataka,Bengaluru,2026-04-28,30.0,8.9,41.5,Hot
Nagaland,Kohima,2026-04-26,38.9,11.9,31.2,Dry
Uttar Pradesh,Lucknow,2026-04-25,28.3,1.1,22.8,Hot
Delhi (NCT),Rohini,2026-04-25,44.2,5.1,36.5,Sunny
Haryana,Panipat,2026-04-24,42.1,3.0,34.4,Dry
Madhya Pradesh,Indore,2026-04-24,40.1,6.9,16.5,Clear
Madhya Pradesh,Gwalior,2026-04-24,33.6,6.4,28.1,Clear
Mizoram,Aizawl,2026-04-24,34.7,7.7,27.0,Hot
Jammu and Kashmir,Srinagar,2026-04-23,32.8,5.5,28.4,Sunny
Goa,Panaji,2026-04-21,41.0,8.1,49.2,Hot
Haryana,Gurugram,2026-04-21,36.2,3.1,46.6,Hot
Telangana,Warangal,2026-04-20,35.0,7.9,28.4,Clear
Meghalaya,Shillong,2026-04-19,36.6,9.5,30.0,Clear
Tamil Nadu,Chennai,2026-04-19,43.1,10.0,18.4,Clear
Uttar Pradesh,Varanasi,2026-04-18,35.8,8.6,30.3,Sunny
Andhra Pradesh,Tirupati,2026-04-17,44.8,5.5,39.3,Clear
Jharkhand,Dhanbad,2026-04-17,38.9,5.8,49.3,Sunny
Jharkhand,Ranchi,2026-04-15,31.0,10.0,41.4,Hot
Delhi (NCT),Dwarka,2026-04-15,41.7,2.6,34.0,Dry
Arunachal Pradesh,Itanagar,2026-04-14,36.1,8.8,31.7,Hot
Uttar Pradesh,Kanpur,2026-04-14,33.9,0.7,45.4,Sunny
West Bengal,Darjeeling,2026-04-14,31.1,3.9,25.6,Hot
Ladakh,Kargil,2026-04-14,35.0,2.0,44.3,Dry
Himachal Pradesh,Shimla,2026-04-13,40.1,0.8,34.6,Dry
Jharkhand,Jamshedpur,2026-04-13,39.2,6.0,15.6,Hot
West Bengal,Siliguri,2026-04-13,31.8,10.7,43.3,Dry
Ladakh,Leh,2026-04-13,39.0,6.1,47.2,Hot
Andhra Pradesh,Visakhapatnam,2026-04-12,40.2,6.8,18.8,Dry
Kerala,Kochi,2026-04-11,43.1,4.1,34.3,Dry
Punjab,Chandigarh,2026-04-11,41.1,8.0,16.4,Clear
Uttar Pradesh,Noida,2026-04-11,38.3,11.2,31.7,Dry
Bihar,Bhagalpur,2026-04-10,38.6,11.6,30.9,Sunny
Gujarat,Ahmedabad,2026-04-10,39.0,5.9,49.4,Hot
Assam,Dibrugarh,2026-04-09,40.2,1.1,32.5,Sunny
Arunachal Pradesh,Naharlagun,2026-04-08,39.2,5.8,17.8,Hot
Assam,Silchar,2026-04-08,37.2,4.2,46.5,Hot
Haryana,Faridabad,2026-04-08,38.5,5.4,48.9,Sunny
Karnataka,Mangaluru,2026-04-08,28.7,7.6,40.2,Sunny
Nagaland,Dimapur,2026-04-08,31.1,10.1,41.5,Clear
Andhra Pradesh,Vijayawada,2026-04-07,43.2,9.9,20.7,Dry
Gujarat,Surat,2026-04-06,40.4,7.4,49.7,Hot
Punjab,Jalandhar,2026-04-06,30.6,9.6,41.0,Hot
Telangana,Nizamabad,2026-04-06,42.6,3.4,36.0,Clear
Himachal Pradesh,Manali,2026-04-05,38.1,10.9,32.6,Dry
Maharashtra,Nagpur,2026-04-05,36.8,9.7,30.2,Sunny
Rajasthan,Jaipur,2026-04-04,33.8,0.7,44.2,Hot
Telangana,Hyderabad,2026-04-04,42.1,2.9,35.5,Hot
Karnataka,Hubballi,2026-04-03,32.6,5.5,26.0,Clear
Maharashtra,Pune,2026-04-02,33.3,0.2,43.7,Sunny
Tripura,Agartala,2026-04-02,33.3,0.2,43.7,Sunny
Gujarat,Vadodara,2026-04-01,31.2,10.2,41.6,Dry
West Bengal,Kolkata,2026-04-01,35.8,8.7,29.2,Clear
Kerala,Thiruvananthapuram,2026-03-31,40.0,0.6,35.6,Sunny
Jammu and Kashmir,Jammu,2026-03-31,35.0,7.8,29.5,Sunny
Goa,Margao,2026-03-30,39.2,6.3,47.4,Dry
Madhya Pradesh,Jabalpur,2026-03-30,40.3,1.0,34.8,Hot
Punjab,Amritsar,2026-03-30,41.4,2.3,33.7,Sunny
Karnataka,Mysuru,2026-03-29,36.0,2.9,46.4,Dry
Chhattisgarh,Raipur,2026-03-27,29.4,8.3,40.9,Dry
Tamil Nadu,Tiruchirappalli,2026-03-27,39.0,11.7,34.6,Clear
Bihar,Gaya,2026-03-26,38.2,5.3,46.4,Hot
Chhattisgarh,Bilaspur,2026-03-26,31.9,4.7,26.4,Hot
Maharashtra,Nashik,2026-03-26,34.3,7.2,27.7,Dry
Odisha,Bhubaneswar,2026-03-26,34.3,7.2,27.7,Dry
Odisha,Rourkela,2026-03-26,40.4,1.3,32.7,Clear
Kerala,Kozhikode,2026-03-25,31.3,10.3,41.7,Sunny
Maharashtra,Aurangabad,2026-03-25,37.2,10.0,31.7,Clear
Maharashtra,Mumbai,2026-03-24,33.8,6.7,27.2,Clear
Madhya Pradesh,Bhopal,2026-03-23,35.8,2.6,47.3,Dry
Punjab,Ludhiana,2026-03-23,37.8,10.8,30.1,Sunny
Karnataka,Bengaluru,2026-03-22,44.4,5.2,37.8,Sunny
Nagaland,Kohima,2026-03-20,35.2,8.2,27.5,Clear
Uttar Pradesh,Lucknow,2026-03-19,42.7,9.5,19.1,Sunny
Delhi (NCT),Rohini,2026-03-19,40.5,1.4,32.8,Dry
Haryana,Panipat,2026-03-18,38.4,11.4,30.7,Clear
Madhya Pradesh,Indore,2026-03-18,36.4,3.2,47.9,Hot
Madhya Pradesh,Gwalior,2026-03-18,29.9,2.7,24.4,Hot
Mizoram,Aizawl,2026-03-18,31.0,4.0,23.3,Sunny
Jammu and Kashmir,Srinagar,2026-03-17,29.1,1.8,24.7,Dry
Goa,Panaji,2026-03-15,37.3,4.4,45.5,Sunny
Haryana,Gurugram,2026-03-15,32.5,11.5,42.9,Sunny
Telangana,Warangal,2026-03-14,31.3,4.2,24.7,Hot
Meghalaya,Shillong,2026-03-13,32.9,5.8,26.3,Hot
Tamil Nadu,Chennai,2026-03-13,39.4,6.3,49.8,Hot
Uttar Pradesh,Varanasi,2026-03-12,32.1,4.9,26.6,Dry
Andhra Pradesh,Tirupati,2026-03-11,41.1,1.8,35.6,Hot
Jharkhand,Dhanbad,2026-03-11,35.2,2.1,45.6,Dry
Jharkhand,Ranchi,2026-03-09,45.4,6.3,37.7,Sunny
Delhi (NCT),Dwarka,2026-03-09,38.0,11.0,30.3,Clear
Arunachal Pradesh,Itanagar,2026-03-08,32.4,5.1,28.0,Sunny
Uttar Pradesh,Kanpur,2026-03-08,30.2,9.1,41.7,Dry
West Bengal,Darjeeling,2026-03-08,45.5,0.2,21.9,Sunny
Ladakh,Kargil,2026-03-08,31.3,10.4,40.6,Clear
Himachal Pradesh,Shimla,2026-03-07,36.4,9.2,30.9,Clear
West Bengal,Siliguri,2026-03-07,28.1,7.0,39.6,Clear
Ladakh,Leh,2026-03-07,35.3,2.4,43.5,Sunny
Andhra Pradesh,Visakhapatnam,2026-03-06,36.5,3.1,15.1,Clear
Kerala,Kochi,2026-03-05,39.4,0.4,30.6,Clear
Punjab,Chandigarh,2026-03-05,37.4,4.3,47.8,Hot
Uttar Pradesh,Noida,2026-03-05,34.6,7.5,28.0,Clear
Bihar,Bhagalpur,2026-03-04,34.9,7.9,27.2,Dry
Gujarat,Ahmedabad,2026-03-04,35.3,2.2,45.7,Sunny
Assam,Dibrugarh,2026-03-03,36.5,9.5,28.8,Dry
Arunachal Pradesh,Naharlagun,2026-03-02,35.5,2.1,49.2,Sunny
Assam,Silchar,2026-03-02,33.5,0.5,42.8,Sunny
Haryana,Faridabad,2026-03-02,34.8,1.7,45.2,Dry
Karnataka,Mangaluru,2026-03-02,43.1,3.9,36.5,Dry
Nagaland,Dimapur,2026-03-02,45.5,6.4,37.8,Hot
Andhra Pradesh,Vijayawada,2026-03-01,39.5,6.2,17.0,Clear
Gujarat,Surat,2026-02-28,12.0,1.3,61.0,Sunny
Punjab,Jalandhar,2026-02-28,20.4,3.4,52.3,Sunny
Telangana,Nizamabad,2026-02-28,14.5,1.1,47.3,Foggy
Himachal Pradesh,Manali,2026-02-27,10.2,0.4,43.9,Cloudy
Maharashtra,Nagpur,2026-02-27,8.7,3.4,41.5,Clear
Rajasthan,Jaipur,2026-02-26,23.6,6.6,55.5,Sunny
Telangana,Hyderabad,2026-02-26,14.0,0.6,46.8,Sunny
Karnataka,Hubballi,2026-02-25,22.5,7.3,37.3,Foggy
Maharashtra,Pune,2026-02-24,23.1,6.1,55.0,Clear
Tripura,Agartala,2026-02-24,23.1,6.1,55.0,Clear
Gujarat,Vadodara,2026-02-23,21.0,4.0,52.9,Cloudy
West Bengal,Kolkata,2026-02-23,25.7,2.4,40.5,Foggy
Kerala,Thiruvananthapuram,2026-02-22,12.3,6.1,46.9,Clear
Jammu and Kashmir,Jammu,2026-02-22,25.1,5.4,40.8,Clear
Goa,Margao,2026-02-21,10.6,4.4,58.7,Cloudy
Madhya Pradesh,Jabalpur,2026-02-21,12.4,2.6,46.1,Sunny
Punjab,Amritsar,2026-02-21,13.1,4.2,45.0,Clear
Karnataka,Mysuru,2026-02-20,25.8,0.7,57.7,Cloudy
Himachal Pradesh,Dharamshala,2026-02-19,25.0,2.6,59.6,Cloudy
Chhattisgarh,Raipur,2026-02-18,19.4,6.0,52.2,Cloudy
Tamil Nadu,Tiruchirappalli,2026-02-18,11.3,5.1,45.9,Foggy
Bihar,Gaya,2026-02-17,9.6,3.4,57.7,Sunny
Chhattisgarh,Bilaspur,2026-02-17,22.0,2.3,37.7,Sunny
Maharashtra,Nashik,2026-02-17,24.2,0.9,39.0,Cloudy
Odisha,Bhubaneswar,2026-02-17,24.2,0.9,39.0,Cloudy
Odisha,Rourkela,2026-02-17,12.1,3.2,44.0,Foggy
Kerala,Kozhikode,2026-02-16,21.1,4.1,53.0,Clear
Maharashtra,Aurangabad,2026-02-16,9.3,7.6,43.0,Foggy
Maharashtra,Mumbai,2026-02-15,23.7,0.4,38.5,Foggy
Madhya Pradesh,Bhopal,2026-02-14,25.8,4.3,58.6,Cloudy
Punjab,Ludhiana,2026-02-14,9.5,0.6,41.4,Clear
Karnataka,Bengaluru,2026-02-13,16.3,2.9,49.1,Clear
Gujarat,Rajkot,2026-02-12,19.6,0.8,33.5,Sunny
Nagaland,Kohima,2026-02-11,24.9,6.1,38.8,Foggy
Uttar Pradesh,Lucknow,2026-02-10,14.7,3.1,30.4,Clear
Delhi (NCT),Rohini,2026-02-10,12.2,3.3,44.1,Cloudy
Haryana,Panipat,2026-02-09,10.1,1.2,42.0,Foggy
Madhya Pradesh,Gwalior,2026-02-09,20.0,0.3,35.7,Sunny
Mizoram,Aizawl,2026-02-09,20.7,1.9,34.6,Clear
Jammu and Kashmir,Srinagar,2026-02-08,19.4,3.3,36.0,Cloudy
Goa,Panaji,2026-02-06,8.7,2.5,56.8,Clear
Haryana,Gurugram,2026-02-06,22.3,5.3,54.2,Clear
Telangana,Warangal,2026-02-05,21.2,6.0,36.0,Sunny
Meghalaya,Shillong,2026-02-04,22.8,7.6,37.6,Sunny
Uttar Pradesh,Varanasi,2026-02-03,22.2,2.5,37.9,Cloudy
Andhra Pradesh,Tirupati,2026-02-02,13.2,3.4,46.9,Sunny
Jharkhand,Dhanbad,2026-02-02,25.0,8.0,56.9,Cloudy
Jharkhand,Ranchi,2026-01-31,17.1,0.1,49.0,Clear
Delhi (NCT),Dwarka,2026-01-31,9.7,0.8,41.6,Foggy
Arunachal Pradesh,Itanagar,2026-01-30,22.7,6.6,39.3,Clear
